Ítem (OPEX),Costo Mensual (CLP),Observaciones
Arriendo Local,$1.000.000,Acuerdo progresivo en mente.
Servicios Básicos (Luz/Agua),$250.000,Autoclave consume alto amperaje
REAS (Retiro Cortopunzantes/Biológicos),$80.000,Empresa certificada viene mensual (Obligatorio)
Software e Internet,$150.000,Caja y agenda
Marketing Mantención (Ads),$500.000,Mantención competitiva
Insumos Aseo y Limpieza Clínica,$80.000,Ajustado a consumo realista
Honorarios Contador Mensual,$100.000,Declaración F29 mensual y libros
TOTAL OPEX MENSUAL,$2.160.000,
